frame,time_sec,ball_visible,ball_x,ball_y,ball_x_m,ball_y_m,ball_speed_m_s,ball_owner_id,ball_owner_role,ball_owner_team,team_ball_control,team1_players_on_pitch,team2_players_on_pitch
0,0.0,0,,,,,,-1,none,0,0,14,6
1,0.016666666666666666,0,,,,,,-1,none,0,0,13,7
2,0.03333333333333333,0,,,,,,-1,none,0,0,12,8
3,0.05,0,,,,,,-1,none,0,0,12,8
4,0.06666666666666667,0,,,,,,-1,none,0,0,12,8
5,0.08333333333333333,0,,,,,,-1,none,0,0,12,8
6,0.1,0,,,,,,-1,none,0,0,12,8
7,0.11666666666666667,0,,,,,,-1,none,0,0,12,8
8,0.13333333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,,19,player,2,2,11,9
9,0.15,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
10,0.16666666666666666,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
11,0.18333333333333332,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
12,0.2,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
13,0.21666666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
14,0.23333333333333334,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
15,0.25,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
16,0.26666666666666666,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
17,0.2833333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
18,0.3,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
19,0.31666666666666665,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
20,0.3333333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
21,0.35,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
22,0.36666666666666664,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
